IDENTIFIER,val_TE_30,val_TE_60,val_TE_90,pval_TE_30,pval_TE_60,pval_TE_90
AC003957.1,0,0,0,1,1,1
AC003958.1,0,0,0,1,1,1
AC003958.2,0,0,0,1,1,1
AC003958.3,0,0,0,1,1,1
AC003958.4,0,0,0,1,1,1
AC003958.5,0,0,0,1,1,1
AC003965.1,-0.124984904,0.877715887,-0.324583669,0.999968765,0.999993293,0.999921572
AC003965.2,0,0,0,1,1,1
AC003965.3,0,0,0,1,1,1
AC003973.1,0,0,0,1,1,1
AC003973.2,0,0,0,1,1,1
AC003973.3,0,0,0,1,1,1
AC003975.1,0,0,0,1,1,1
AC003976.1,0,0,0,1,1,1
AC003976.2,0,0,0,1,1,1
AC003982.1,0,0,0,1,1,1
AC003982.2,0,0,0,1,1,1
AC003984.1,0,0,0,1,1,1
AC003985.1,0,0,0,1,1,1
AC003985.2,0,0,0,1,1,1
AC003986.1,0,0,0,1,1,1
AC003986.2,0,0,0,1,1,1
AC003986.3,0,0,0,1,1,1
AC003988.1,0,0,0,1,1,1
AC003989.1,0,0,0,1,1,1
AC003989.2,0,0,0,1,1,1
AC003991.1,-2.910373302,-0.910671177,0,0.999968765,0.999993293,1
AC003991.2,-1.678003783,-0.783497571,0.778571287,0.999968765,0.999993293,0.999921572
AC003992.1,0,0,0,1,1,1
AC004000.1,0,0,0,1,1,1
AC004004.1,0,0,0,1,1,1
AC004006.1,0,0,0,1,1,1
AC004009.1,0,0,0,1,1,1
AC004009.2,0,0,0,1,1,1
AC004009.3,0,0,0,1,1,1
AC004012.1,0,0,0,1,1,1
AC004014.1,0,0,0,1,1,1
AC004014.2,0,0,0,1,1,1
AC004022.1,0,0,0,1,1,1
AC004022.2,0,0,0,1,1,1
AC004023.1,0,0,0,1,1,1
AC004024.1,0,0,0,1,1,1
AC004034.1,0,0,0,1,1,1
AC004039.1,0,0,0,1,1,1
AC004052.1,0,0,0,1,1,1
AC004053.1,0,0,0,1,1,1
AC004054.1,0,0,0,1,1,1
AC004057.1,0,0,0,1,1,1
AC004062.1,0,0,0,1,1,1
AC004063.1,0,0,0,1,1,1
AC004066.1,0,0,0,1,1,1
AC004066.2,0,0,0,1,1,1
AC004067.1,0,0,0,1,1,1
AC004069.1,0,0,7.82531165,1,1,0.999921572
AC004069.2,0,0,0,1,1,1
AC004074.1,0,0,0,1,1,1
AC004076.1,0,0,-1.220916458,1,1,0.999921572
AC004076.2,-9.566994848,-10.66348435,0,0.999968765,0.080159969,1
AC004080.1,0,0,0,1,1,1
AC004080.2,0,0,0,1,1,1
AC004080.3,0.978731735,-0.113656345,0,0.999968765,0.999993293,1
AC004080.4,0,0,0,1,1,1
AC004080.5,0,0,0,1,1,1
AC004080.6,0,0,0,1,1,1
AC004099.1,0,0,0,1,1,1
AC004112.1,0,0,0,1,1,1
AC004129.1,0,0,0,1,1,1
